composition,adults,children,monthly_income,payment,benefit
"1 adult, 1 child",1,1,80,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,80,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,80,642,FNS (Food Stamps)
2 adults,2,0,80,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,80,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,80,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,80,762,FNS (Food Stamps)
1 adult,1,0,90,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,90,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,90,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,90,642,FNS (Food Stamps)
2 adults,2,0,90,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,90,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,90,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,90,762,FNS (Food Stamps)
1 adult,1,0,100,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,100,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,100,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,100,642,FNS (Food Stamps)
2 adults,2,0,100,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,100,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,100,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,100,762,FNS (Food Stamps)
1 adult,1,0,110,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,110,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,110,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,110,642,FNS (Food Stamps)
2 adults,2,0,110,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,110,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,110,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,110,762,FNS (Food Stamps)
1 adult,1,0,120,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,120,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,120,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,120,642,FNS (Food Stamps)
2 adults,2,0,120,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,120,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,120,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,120,762,FNS (Food Stamps)
1 adult,1,0,130,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,130,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,130,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,130,642,FNS (Food Stamps)
2 adults,2,0,130,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,130,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,130,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,130,762,FNS (Food Stamps)
1 adult,1,0,140,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,140,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,140,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,140,642,FNS (Food Stamps)
2 adults,2,0,140,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,140,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,140,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,140,762,FNS (Food Stamps)
1 adult,1,0,150,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,150,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,150,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,150,642,FNS (Food Stamps)
2 adults,2,0,150,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,150,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,150,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,150,762,FNS (Food Stamps)
1 adult,1,0,160,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,160,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,160,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,160,642,FNS (Food Stamps)
2 adults,2,0,160,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,160,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,160,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,160,762,FNS (Food Stamps)
1 adult,1,0,170,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,170,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,170,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,170,642,FNS (Food Stamps)
2 adults,2,0,170,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,170,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,170,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,170,762,FNS (Food Stamps)
1 adult,1,0,180,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,180,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,180,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,180,642,FNS (Food Stamps)
2 adults,2,0,180,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,180,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,180,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,180,762,FNS (Food Stamps)
1 adult,1,0,190,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,190,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,190,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,190,642,FNS (Food Stamps)
2 adults,2,0,190,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,190,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,190,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,190,762,FNS (Food Stamps)
1 adult,1,0,200,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,200,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,200,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,200,642,FNS (Food Stamps)
2 adults,2,0,200,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,200,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,200,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,200,762,FNS (Food Stamps)
1 adult,1,0,210,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,210,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,210,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,210,642,FNS (Food Stamps)
2 adults,2,0,210,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,210,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,210,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,210,762,FNS (Food Stamps)
1 adult,1,0,220,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,220,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,220,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,220,642,FNS (Food Stamps)
2 adults,2,0,220,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,220,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,220,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,220,762,FNS (Food Stamps)
1 adult,1,0,230,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,230,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,230,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,230,642,FNS (Food Stamps)
2 adults,2,0,230,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,230,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,230,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,230,762,FNS (Food Stamps)
1 adult,1,0,240,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,240,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,240,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,240,642,FNS (Food Stamps)
2 adults,2,0,240,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,240,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,240,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,240,762,FNS (Food Stamps)
1 adult,1,0,250,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,250,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,250,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,250,642,FNS (Food Stamps)
2 adults,2,0,250,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,250,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,250,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,250,762,FNS (Food Stamps)
1 adult,1,0,260,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,260,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,260,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,260,642,FNS (Food Stamps)
2 adults,2,0,260,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,260,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,260,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,260,762,FNS (Food Stamps)
1 adult,1,0,270,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,270,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,270,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,270,642,FNS (Food Stamps)
2 adults,2,0,270,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,270,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,270,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,270,762,FNS (Food Stamps)
1 adult,1,0,280,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,280,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,280,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,280,642,FNS (Food Stamps)
2 adults,2,0,280,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,280,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,280,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,280,762,FNS (Food Stamps)
1 adult,1,0,290,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,290,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,290,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,290,642,FNS (Food Stamps)
2 adults,2,0,290,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,290,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,290,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,290,762,FNS (Food Stamps)
1 adult,1,0,300,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,300,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,300,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,300,642,FNS (Food Stamps)
2 adults,2,0,300,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,300,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,300,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,300,762,FNS (Food Stamps)
1 adult,1,0,310,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,310,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,310,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,310,642,FNS (Food Stamps)
2 adults,2,0,310,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,310,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,310,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,310,762,FNS (Food Stamps)
1 adult,1,0,320,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,320,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,320,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,320,642,FNS (Food Stamps)
2 adults,2,0,320,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,320,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,320,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,320,762,FNS (Food Stamps)
1 adult,1,0,330,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,330,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,330,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,330,642,FNS (Food Stamps)
2 adults,2,0,330,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,330,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,330,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,330,762,FNS (Food Stamps)
1 adult,1,0,340,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,340,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,340,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,340,642,FNS (Food Stamps)
2 adults,2,0,340,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,340,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,340,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,340,762,FNS (Food Stamps)
1 adult,1,0,350,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,350,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,350,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,350,642,FNS (Food Stamps)
2 adults,2,0,350,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,350,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,350,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,350,762,FNS (Food Stamps)
1 adult,1,0,360,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,360,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,360,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,360,642,FNS (Food Stamps)
2 adults,2,0,360,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,360,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,360,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,360,762,FNS (Food Stamps)
1 adult,1,0,370,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,370,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,370,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,370,642,FNS (Food Stamps)
2 adults,2,0,370,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,370,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,370,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,370,762,FNS (Food Stamps)
1 adult,1,0,380,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,380,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,380,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,380,642,FNS (Food Stamps)
2 adults,2,0,380,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,380,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,380,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,380,762,FNS (Food Stamps)
1 adult,1,0,390,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,390,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,390,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,390,642,FNS (Food Stamps)
2 adults,2,0,390,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,390,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,390,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,390,762,FNS (Food Stamps)
1 adult,1,0,400,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,400,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,400,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,400,642,FNS (Food Stamps)
2 adults,2,0,400,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,400,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,400,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,400,762,FNS (Food Stamps)
1 adult,1,0,410,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,410,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,410,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,410,642,FNS (Food Stamps)
2 adults,2,0,410,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,410,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,410,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,410,762,FNS (Food Stamps)
1 adult,1,0,420,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,420,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,420,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,420,642,FNS (Food Stamps)
2 adults,2,0,420,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,420,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,420,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,420,762,FNS (Food Stamps)
1 adult,1,0,430,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,430,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,430,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,430,642,FNS (Food Stamps)
2 adults,2,0,430,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,430,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,430,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,430,762,FNS (Food Stamps)
1 adult,1,0,440,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,440,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,440,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,440,642,FNS (Food Stamps)
2 adults,2,0,440,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,440,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,440,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,440,762,FNS (Food Stamps)
1 adult,1,0,450,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,450,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,450,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,450,642,FNS (Food Stamps)
2 adults,2,0,450,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,450,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,450,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,450,762,FNS (Food Stamps)
1 adult,1,0,460,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,460,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,460,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,460,642,FNS (Food Stamps)
2 adults,2,0,460,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,460,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,460,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,460,762,FNS (Food Stamps)
1 adult,1,0,470,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,470,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,470,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,470,642,FNS (Food Stamps)
2 adults,2,0,470,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,470,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,470,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,470,762,FNS (Food Stamps)
1 adult,1,0,480,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,480,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,480,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,480,642,FNS (Food Stamps)
2 adults,2,0,480,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,480,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,480,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,480,762,FNS (Food Stamps)
1 adult,1,0,490,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,490,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,490,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,490,642,FNS (Food Stamps)
2 adults,2,0,490,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,490,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,490,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,490,762,FNS (Food Stamps)
1 adult,1,0,500,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,500,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,500,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,500,642,FNS (Food Stamps)
2 adults,2,0,500,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,500,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,500,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,500,762,FNS (Food Stamps)
1 adult,1,0,510,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,510,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,510,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,510,642,FNS (Food Stamps)
2 adults,2,0,510,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,510,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,510,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,510,762,FNS (Food Stamps)
1 adult,1,0,520,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,520,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,520,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,520,642,FNS (Food Stamps)
2 adults,2,0,520,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,520,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,520,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,520,762,FNS (Food Stamps)
1 adult,1,0,530,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,530,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,530,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,530,642,FNS (Food Stamps)
2 adults,2,0,530,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,530,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,530,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,530,762,FNS (Food Stamps)
1 adult,1,0,540,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,540,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,540,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,540,642,FNS (Food Stamps)
2 adults,2,0,540,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,540,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,540,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,540,762,FNS (Food Stamps)
1 adult,1,0,550,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,550,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,550,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,550,642,FNS (Food Stamps)
2 adults,2,0,550,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,550,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,550,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,550,762,FNS (Food Stamps)
1 adult,1,0,560,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,560,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,560,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,560,642,FNS (Food Stamps)
2 adults,2,0,560,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,560,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,560,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,560,762,FNS (Food Stamps)
1 adult,1,0,570,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,570,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,570,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,570,642,FNS (Food Stamps)
2 adults,2,0,570,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,570,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,570,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,570,762,FNS (Food Stamps)
1 adult,1,0,580,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,580,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,580,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,580,642,FNS (Food Stamps)
2 adults,2,0,580,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,580,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,580,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,580,762,FNS (Food Stamps)
1 adult,1,0,590,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,590,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,590,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,590,642,FNS (Food Stamps)
2 adults,2,0,590,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,590,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,590,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,590,762,FNS (Food Stamps)
1 adult,1,0,600,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,600,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,600,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,600,642,FNS (Food Stamps)
2 adults,2,0,600,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,600,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,600,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,600,762,FNS (Food Stamps)
1 adult,1,0,610,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,610,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,610,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,610,642,FNS (Food Stamps)
2 adults,2,0,610,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,610,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,610,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,610,762,FNS (Food Stamps)
1 adult,1,0,620,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,620,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,620,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,620,642,FNS (Food Stamps)
2 adults,2,0,620,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,620,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,620,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,620,762,FNS (Food Stamps)
1 adult,1,0,630,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,630,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,630,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,630,642,FNS (Food Stamps)
2 adults,2,0,630,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,630,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,630,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,630,762,FNS (Food Stamps)
1 adult,1,0,640,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,640,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,640,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,640,642,FNS (Food Stamps)
2 adults,2,0,640,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,640,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,640,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,640,762,FNS (Food Stamps)
1 adult,1,0,650,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,650,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,650,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,650,642,FNS (Food Stamps)
2 adults,2,0,650,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,650,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,650,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,650,762,FNS (Food Stamps)
1 adult,1,0,660,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,660,353,FNS (Food Stamps)
"1 adult, 2 children",1,2,660,505,FNS (Food Stamps)
"1 adult, 3 children",1,3,660,642,FNS (Food Stamps)
2 adults,2,0,660,353,FNS (Food Stamps)
"2 adults, 1 child",2,1,660,505,FNS (Food Stamps)
"2 adults, 2 children",2,2,660,642,FNS (Food Stamps)
"2 adults, 3 children",2,3,660,762,FNS (Food Stamps)
1 adult,1,0,670,192,FNS (Food Stamps)
"1 adult, 1 child",1,1,670,353,FNS (Food Stamps)
